# x, y, theta, v_l, v_r
50.00, 19.52, 1.571, -75.07, -75.07
50.00, 18.77, 1.571, -75.07, -75.07
50.00, 18.02, 1.571, -75.07, -75.07
50.00, 17.27, 1.571, -75.07, -75.07
50.00, 16.52, 1.571, -75.07, -75.07
50.00, 15.77, 1.571, -75.07, -75.07
50.00, 15.02, 1.571, -75.07, -75.07
50.00, 14.27, 1.571, -75.07, -75.07
50.00, 13.52, 1.571, -75.07, -75.07
50.00, 12.77, 1.571, -75.07, -75.07
50.00, 12.02, 1.571, -75.07, -75.07
50.00, 11.27, 1.571, -75.07, -75.07
50.00, 10.52, 1.571, -75.07, -75.07
50.00, 9.77, 1.571, -75.07, -75.07
50.00, 9.01, 1.571, -75.07, -75.07
50.00, 8.26, 1.571, -75.07, -75.07
50.00, 7.51, 1.571, -75.07, -75.07
50.00, 6.76, 1.571, -75.07, -75.07
50.00, 6.01, 1.571, -75.07, -75.07
50.00, 5.26, 1.571, -75.07, -75.07
50.00, 4.51, 1.571, -75.07, -75.07
50.00, 3.76, 1.571, -75.07, -75.07
50.00, 3.01, 1.571, -75.07, -75.07
50.00, 2.26, 1.571, -75.07, -75.07
50.00, 1.51, 1.571, -75.07, -75.07
50.00, 0.76, 1.571, -75.07, -75.07
50.00, 0.01, 1.571, -75.07, -75.07
50.00, -0.74, 1.571, -75.07, -75.07
