# x, y, theta, v_l, v_r
38.24, 296.26, 1.820, 24.93, 24.93
38.18, 296.50, 1.820, 24.93, 24.93
38.12, 296.74, 1.820, 24.93, 24.93
38.05, 296.98, 1.820, 24.93, 24.93
37.99, 297.22, 1.820, 24.93, 24.93
37.93, 297.47, 1.820, 24.93, 24.93
37.87, 297.71, 1.820, 24.93, 24.93
37.81, 297.95, 1.820, 24.93, 24.93
37.75, 298.19, 1.820, 24.93, 24.93
37.69, 298.43, 1.820, 24.93, 24.93
37.62, 298.67, 1.820, 24.93, 24.93
37.56, 298.92, 1.820, 24.93, 24.93
37.50, 299.16, 1.820, 24.93, 24.93
37.44, 299.40, 1.820, 24.93, 24.93
37.38, 299.64, 1.820, 24.93, 24.93
37.32, 299.88, 1.820, 24.93, 24.93
37.26, 300.12, 1.820, 24.93, 24.93
37.19, 300.36, 1.820, 24.93, 24.93
37.13, 300.61, 1.820, 24.93, 24.93
37.07, 300.85, 1.820, 24.93, 24.93
37.01, 301.09, 1.820, 24.93, 24.93
36.95, 301.33, 1.820, 24.93, 24.93
36.89, 301.57, 1.820, 24.93, 24.93
36.83, 301.81, 1.820, 24.93, 24.93
36.76, 302.06, 1.820, 24.93, 24.93
36.70, 302.30, 1.820, 24.93, 24.93
36.64, 302.54, 1.820, 24.93, 24.93
36.58, 302.78, 1.820, 24.93, 24.93
36.52, 303.02, 1.820, 24.93, 24.93
36.46, 303.26, 1.820, 24.93, 24.93
36.39, 303.50, 1.820, 24.93, 24.93
36.33, 303.75, 1.820, 24.93, 24.93
36.27, 303.99, 1.820, 24.93, 24.93
36.21, 304.23, 1.820, 24.93, 24.93
36.15, 304.47, 1.820, 24.93, 24.93
36.09, 304.71, 1.820, 24.93, 24.93
36.03, 304.95, 1.820, 24.93, 24.93
35.96, 305.20, 1.820, 24.93, 24.93
35.90, 305.44, 1.820, 24.93, 24.93
35.84, 305.68, 1.820, 24.93, 24.93
35.78, 305.92, 1.820, 24.93, 24.93
35.72, 306.16, 1.820, 24.93, 24.93
35.66, 306.40, 1.820, 24.93, 24.93
35.60, 306.65, 1.820, 24.93, 24.93
35.53, 306.89, 1.820, 24.93, 24.93
35.47, 307.13, 1.820, 24.93, 24.93
35.41, 307.37, 1.820, 24.93, 24.93
35.35, 307.61, 1.820, 24.93, 24.93
35.29, 307.85, 1.820, 24.93, 24.93
35.23, 308.09, 1.820, 24.93, 24.93
35.16, 308.34, 1.820, 24.93, 24.93
35.10, 308.58, 1.820, 24.93, 24.93
35.04, 308.82, 1.820, 24.93, 24.93
34.98, 309.06, 1.820, 24.93, 24.93
34.92, 309.30, 1.820, 24.93, 24.93
34.86, 309.54, 1.820, 24.93, 24.93
34.80, 309.79, 1.820, 24.93, 24.93
34.73, 310.03, 1.820, 24.93, 24.93
34.67, 310.27, 1.820, 24.93, 24.93
34.61, 310.51, 1.820, 24.93, 24.93
34.55, 310.75, 1.820, 24.93, 24.93
34.49, 310.99, 1.820, 24.93, 24.93
34.43, 311.23, 1.820, 24.93, 24.93
34.37, 311.48, 1.820, 24.93, 24.93
34.30, 311.72, 1.820, 24.93, 24.93
34.24, 311.96, 1.820, 24.93, 24.93
34.18, 312.20, 1.820, 24.93, 24.93
34.12, 312.44, 1.820, 24.93, 24.93
34.06, 312.68, 1.820, 24.93, 24.93
34.00, 312.93, 1.820, 24.93, 24.93
33.93, 313.17, 1.820, 24.93, 24.93
33.87, 313.41, 1.820, 24.93, 24.93
33.81, 313.65, 1.820, 24.93, 24.93
33.75, 313.89, 1.820, 24.93, 24.93
33.69, 314.13, 1.820, 24.93, 24.93
33.63, 314.38, 1.820, 24.93, 24.93
33.57, 314.62, 1.820, 24.93, 24.93
33.50, 314.86, 1.820, 24.93, 24.93
33.44, 315.10, 1.820, 24.93, 24.93
33.38, 315.34, 1.820, 24.93, 24.93
33.32, 315.58, 1.820, 24.93, 24.93
33.26, 315.82, 1.820, 24.93, 24.93
33.20, 316.07, 1.820, 24.93, 24.93
